Location,Status,Prosto,Na voljo,Datum
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-17 21:18
Bežigrad,Prosto,38,64,2025-03-17 21:34
Dolenjska cesta (Strelišče),Prosto,64,67,2025-03-17 21:34
Gosarjeva ulica,Prosto,38,190,2025-03-17 21:34
Gospodarsko razstavišče,Prosto,450,400,2025-03-17 21:34
Komanova ulica,Zasedeno,/,55,2025-03-17 21:34
PH Kongresni trg,Prosto,199,720,2025-03-17 21:34
Kozolec,Prosto,146,394,2025-03-17 21:34
Kranjčeva ulica,Prosto,77,117,2025-03-17 21:34
Linhartova,Prosto,113,50,2025-03-17 21:34
Metelkova ulica,Prosto,38,89,2025-03-17 21:34
Mirje,Prosto,90,107,2025-03-17 21:34
P+R Barje,Odprto,,,2025-03-17 21:34
P+R Dolgi Most,Odprto,,,2025-03-17 21:34
P+R Studenec,Odprto,,,2025-03-17 21:34
PH Kolezija,Prosto,72,80,2025-03-17 21:34
Pokopališče Polje,Prosto,36,39,2025-03-17 21:34
Povšetova ulica,Prosto,58,81,2025-03-17 21:34
Sanatorij Emona,Prosto,12,25,2025-03-17 21:34
Slovenčeva ulica,Zasedeno,0,128,2025-03-17 21:34
Tivoli I.,Prosto,269,351,2025-03-17 21:34
Tivoli II.,Prosto,145,159,2025-03-17 21:34
Trg mladinskih delovnih brigad,Prosto,15,26,2025-03-17 21:34
Trg prekomorskih brigad,Prosto,32,61,2025-03-17 21:34
Štembalova ulica,Zasedeno,/,155,2025-03-17 21:34
Žale I.,Prosto,76,125,2025-03-17 21:34
Žale II.,Prosto,56,80,2025-03-17 21:34
Žale III.,Prosto,50,83,2025-03-17 21:34
Žale IV.,Prosto,78,78,2025-03-17 21:34
Žale V.,Prosto,285,100,2025-03-17 21:34
P+R Ježica,Odprto,,,2025-03-17 21:34
P+R Stanežiče,Odprto,,,2025-03-17 21:34
ŠRC Stožice,Prosto,/,509,2025-03-17 21:34
Tacen,Prosto,/,/,2025-03-17 21:34
Bratislavska,Prosto,/,/,2025-03-17 21:34
BS4,Prosto,29,100,2025-03-17 21:34
PH Rog,Prosto,22,80,2025-03-17 21:34
P+R Letališka,Odprto,,,2025-03-17 21:34
Parkirišče PH Ilirija - trenutno ne obratuje,Zasedeno,/,/,2025-03-17 21:34
Bežigrad,Prosto,39,64,2025-03-17 21:48
Dolenjska cesta (Strelišče),Prosto,65,67,2025-03-17 21:48
Gosarjeva ulica,Prosto,40,190,2025-03-17 21:48
Gospodarsko razstavišče,Prosto,453,400,2025-03-17 21:48
Komanova ulica,Zasedeno,/,55,2025-03-17 21:48
PH Kongresni trg,Prosto,218,720,2025-03-17 21:48
Kozolec,Prosto,146,394,2025-03-17 21:48
