Location,Status,Prosto,Na voljo,Datum
Žale IV.,Prosto,77,78,2025-04-14 02:44
Žale V.,Prosto,284,100,2025-04-14 02:44
P+R Ježica,Odprto,,,2025-04-14 02:44
P+R Stanežiče,Odprto,,,2025-04-14 02:44
ŠRC Stožice,Prosto,/,509,2025-04-14 02:44
Tacen,Prosto,/,/,2025-04-14 02:44
Bratislavska,Prosto,/,/,2025-04-14 02:44
BS4,Prosto,53,100,2025-04-14 02:44
PH Rog,Prosto,28,80,2025-04-14 02:44
P+R Letališka,Odprto,,,2025-04-14 02:44
Parkirišče PH Ilirija,Odprto,,,2025-04-14 02:44
Bežigrad,Prosto,54,64,2025-04-14 03:00
Dolenjska cesta (Strelišče),Prosto,45,67,2025-04-14 03:00
Gosarjeva ulica,Skoraj polno,37,190,2025-04-14 03:00
Gospodarsko razstavišče,Prosto,432,400,2025-04-14 03:00
Komanova ulica,Zasedeno,/,55,2025-04-14 03:00
PH Kongresni trg,Prosto,247,720,2025-04-14 03:00
Kozolec,Prosto,99,394,2025-04-14 03:00
Kranjčeva ulica,Prosto,117,117,2025-04-14 03:00
Linhartova,Prosto,110,50,2025-04-14 03:00
Metelkova ulica,Prosto,29,89,2025-04-14 03:00
Mirje,Prosto,85,107,2025-04-14 03:00
P+R Barje,Odprto,,,2025-04-14 03:00
P+R Dolgi Most,Odprto,,,2025-04-14 03:00
P+R Studenec,Odprto,,,2025-04-14 03:00
PH Kolezija,Prosto,62,80,2025-04-14 03:00
Pokopališče Polje,Prosto,38,39,2025-04-14 03:00
Povšetova ulica,Prosto,73,81,2025-04-14 03:00
Sanatorij Emona,Prosto,9,25,2025-04-14 03:00
Slovenčeva ulica,Zasedeno,0,128,2025-04-14 03:00
Tivoli I.,Prosto,333,351,2025-04-14 03:00
Tivoli II.,Prosto,159,159,2025-04-14 03:00
Trg mladinskih delovnih brigad,Prosto,16,26,2025-04-14 03:00
Trg prekomorskih brigad,Prosto,39,61,2025-04-14 03:00
Štembalova ulica,Zasedeno,/,155,2025-04-14 03:00
Žale I.,Prosto,103,125,2025-04-14 03:00
Žale II.,Prosto,69,80,2025-04-14 03:00
Žale III.,Prosto,55,83,2025-04-14 03:00
Žale IV.,Prosto,77,78,2025-04-14 03:00
Žale V.,Prosto,284,100,2025-04-14 03:00
P+R Ježica,Odprto,,,2025-04-14 03:00
P+R Stanežiče,Odprto,,,2025-04-14 03:00
ŠRC Stožice,Prosto,/,509,2025-04-14 03:00
Tacen,Prosto,/,/,2025-04-14 03:00
Bratislavska,Prosto,/,/,2025-04-14 03:00
BS4,Prosto,53,100,2025-04-14 03:00
PH Rog,Prosto,28,80,2025-04-14 03:00
P+R Letališka,Odprto,,,2025-04-14 03:00
Parkirišče PH Ilirija,Odprto,,,2025-04-14 03:00
Bežigrad,Prosto,54,64,2025-04-14 03:14
Dolenjska cesta (Strelišče),Prosto,45,67,2025-04-14 03:14
